TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0.361354,0.362187,0.363229,0.362396,0.000000,-0.000000,0.000000,-1.000000
0,0.362812,0.362604,0.362812,0.363021,0.000000,-0.000000,0.000000,-1.000000
0,0.362812,0.363646,0.364479,0.363646,0.000000,-0.000000,0.000000,-1.000000
0,0.36125,0.362292,0.363125,0.362083,0.000000,-0.000000,0.000000,-1.000000
0,0.360312,0.360938,0.361979,0.361354,0.000000,-0.000000,0.000000,-1.000000
0,0.36125,0.360833,0.360833,0.36125,0.000000,-0.000000,0.000000,-1.000000
0,0.361354,0.361146,0.361354,0.361563,0.000000,-0.000000,0.000000,-1.000000
0,0.356875,0.357708,0.358958,0.358125,0.000000,-0.000000,0.000000,-1.000000
0,0.356979,0.356771,0.356979,0.357187,0.000000,-0.000000,0.000000,-1.000000
0,0.356875,0.356875,0.357083,0.357083,0.000000,-0.000000,0.000000,-1.000000
0,0.3575,0.358542,0.359583,0.358542,0.000000,-0.000000,0.000000,-1.000000
0,0.355312,0.356354,0.357396,0.356354,0.000000,-0.000000,0.000000,-1.000000
0,0.358333,0.358333,0.358542,0.358542,0.000000,-0.000000,0.000000,-1.000000
0,0.357396,0.358229,0.359479,0.358646,0.000000,-0.000000,0.000000,-1.000000
0,0.357917,0.35875,0.36,0.359167,0.000000,-0.000000,0.000000,-1.000000
0,0.360417,0.36,0.360208,0.360625,0.000000,-0.000000,0.000000,-1.000000
0,0.360104,0.361146,0.362396,0.361354,0.000000,-0.000000,0.000000,-1.000000
0,0.357708,0.35875,0.360208,0.359167,0.000000,-0.000000,0.000000,-1.000000
0,0.359479,0.360521,0.361563,0.360521,0.000000,-0.000000,0.000000,-1.000000
0,0.358229,0.359271,0.360521,0.359479,0.000000,-0.000000,0.000000,-1.000000
0,0.357708,0.35875,0.36,0.358958,0.000000,-0.000000,0.000000,-1.000000
0,0.35625,0.357083,0.358333,0.3575,0.000000,-0.000000,0.000000,-1.000000
0,0.352812,0.353646,0.354687,0.353854,0.000000,-0.000000,0.000000,-1.000000
0,0.353646,0.354479,0.356146,0.355312,0.000000,-0.000000,0.000000,-1.000000
